Phrase,Meaning,Example,Source
hide,を隠す,,[Leap]見出し番号 140
draw,を描く,,[Leap]見出し番号 141
join,に加わる,,[Leap]見出し番号 142
throw,を投げる,,[Leap]見出し番号 143
operate,を操作する,,[Leap]見出し番号 144
repair,を修理する,,[Leap]見出し番号 145
sew,を縫う,,[Leap]見出し番号 146
raise,を上げる,,[Leap]見出し番号 147
serve,を出す,,[Leap]見出し番号 148
pour,を注ぐ,,[Leap]見出し番号 149
spill,をこぼす,,[Leap]見出し番号 150
pretend,ふりをする,,[Leap]見出し番号 151
behave,振る舞う,,[Leap]見出し番号 152
bear,に耐える,,[Leap]見出し番号 153
explore,を探検する,,[Leap]見出し番号 154
happen,起こる,,[Leap]見出し番号 155
appear,現れる,,[Leap]見出し番号 156
remain,のままでいる,,[Leap]見出し番号 157
survive,生き残る,,[Leap]見出し番号 158
belong,所属している,,[Leap]見出し番号 159
represent,を代表する,,[Leap]見出し番号 160
base,の基礎を置く,,[Leap]見出し番号 161
include,を含む,,[Leap]見出し番号 162
contain,を含む,,[Leap]見出し番号 163
own,自分自身の,,[Leap]見出し番号 164
share,を共有する,,[Leap]見出し番号 165
collect,を集める,,[Leap]見出し番号 166
gather,を集める,,[Leap]見出し番号 167
history,歴史,,[Leap]見出し番号 168
subject,科目,,[Leap]見出し番号 169
education,教育,,[Leap]見出し番号 170
knowledge,知識,,[Leap]見出し番号 171
uniform,制服,,[Leap]見出し番号 172
grade,学年,,[Leap]見出し番号 173
senior,最上級生,,[Leap]見出し番号 174
graduate,卒業する,,[Leap]見出し番号 175
decide,を決定する,,[Leap]見出し番号 176
judge,を判断する,,[Leap]見出し番号 177
quit,をやめる,,[Leap]見出し番号 178
retire,引退する,,[Leap]見出し番号 179
review,再検討,,[Leap]見出し番号 180
choose,を選ぶ,,[Leap]見出し番号 181
imagine,を想像する,,[Leap]見出し番号 182
guess,を推測する,,[Leap]見出し番号 183
expect,を予期する,,[Leap]見出し番号 184
predict,を予測する,,[Leap]見出し番号 185
remember,を覚えている,,[Leap]見出し番号 186
remind,に思い出させる,,[Leap]見出し番号 187
realize,を理解する,,[Leap]見出し番号 188
appreciate,を理解する,,[Leap]見出し番号 189
accept,を受け入れる,,[Leap]見出し番号 190
consider,をよく考える,,[Leap]見出し番号 191
mind,気にする,,[Leap]見出し番号 192
wonder,かなと思う,,[Leap]見出し番号 193
seem,のように思われる,,[Leap]見出し番号 194
compare,を比較する,,[Leap]見出し番号 195
concentrate,集中する,,[Leap]見出し番号 196
focus,焦点を当てる,,[Leap]見出し番号 197
allow,を許可する,,[Leap]見出し番号 198
admit,を認める,,[Leap]見出し番号 199
ground,地面,,[Leap]見出し番号 200
pollution,汚染,,[Leap]見出し番号 201
sight,光景,,[Leap]見出し番号 202
view,眺め,,[Leap]見出し番号 203
landscape,風景,,[Leap]見出し番号 204
nature,自然,,[Leap]見出し番号 205
seed,種,,[Leap]見出し番号 206
plant,植物,,[Leap]見出し番号 207
bloom,咲く,,[Leap]見出し番号 208
harvest,収穫,,[Leap]見出し番号 209
insect,昆虫,,[Leap]見出し番号 210
earthquake,地震,,[Leap]見出し番号 211
temperature,温度,,[Leap]見出し番号 212
degree,度,,[Leap]見出し番号 213
flood,洪水,,[Leap]見出し番号 214
freeze,凍る,,[Leap]見出し番号 215
reflect,を反射する,,[Leap]見出し番号 216
polite,礼儀正しい,,[Leap]見出し番号 217
rude,無礼な,,[Leap]見出し番号 218
lonely,孤独な,,[Leap]見出し番号 219
lazy,怠惰な,,[Leap]見出し番号 220
strict,厳しい,,[Leap]見出し番号 221
ugly,醜い,,[Leap]見出し番号 222
intelligent,知的な,,[Leap]見出し番号 223
silly,ばかな,,[Leap]見出し番号 224
nervous,上がって,,[Leap]見出し番号 225
awake,目を覚まして,,[Leap]見出し番号 226
alone,一人で,,[Leap]見出し番号 227
attitude,態度,,[Leap]見出し番号 228
character,性格,,[Leap]見出し番号 229
characteristic,特徴,,[Leap]見出し番号 230
feature,特徴,,[Leap]見出し番号 231
detail,詳細,,[Leap]見出し番号 232
advantage,利点,,[Leap]見出し番号 233
fault,欠点,,[Leap]見出し番号 234
quality,質,,[Leap]見出し番号 235
correct,正確な,,[Leap]見出し番号 236
ideal,理想的な,,[Leap]見出し番号 237
fair,公正な,,[Leap]見出し番号 238
appropriate,適切な,,[Leap]見出し番号 239
famous,有名な,,[Leap]見出し番号 240
elementary,初歩的な,,[Leap]見出し番号 241
major,主要な,,[Leap]見出し番号 242
matter,重要である,,[Leap]見出し番号 243
bright,明るい,,[Leap]見出し番号 244
brilliant,輝いている,,[Leap]見出し番号 245
lively,生き生きとした,,[Leap]見出し番号 246
comfortable,快適な,,[Leap]見出し番号 247
pleasant,楽しい,,[Leap]見出し番号 248
convenient,都合が良い,,[Leap]見出し番号 249
FALSE,誤った,,[Leap]見出し番号 250
terrible,ひどい,,[Leap]見出し番号 251
awful,ひどい,,[Leap]見出し番号 252
thin,薄い,,[Leap]見出し番号 253
tight,引き締まった,,[Leap]見出し番号 254
loose,ゆるい,,[Leap]見出し番号 255
raw,生の,,[Leap]見出し番号 256
empty,からの,,[Leap]見出し番号 257
smooth,なめらかな,,[Leap]見出し番号 258
direct,直接的な,,[Leap]見出し番号 259
familiar,知られた,,[Leap]見出し番号 260
similar,似た,,[Leap]見出し番号 261
differ,異なる,,[Leap]見出し番号 262
vary,様々だ,,[Leap]見出し番号 263
specific,特定の,,[Leap]見出し番号 264
common,普及した,,[Leap]見出し番号 265
unusual,珍しい,,[Leap]見出し番号 266
add,を加える,,[Leap]見出し番号 267
increase,増える,,[Leap]見出し番号 268
reduce,を減らす,,[Leap]見出し番号 269
divide,を分割する,,[Leap]見出し番号 270
count,を数える,,[Leap]見出し番号 271
weigh,の重さがある,,[Leap]見出し番号 272
quarter,4分の1,,[Leap]見出し番号 273
lot,多くの,,[Leap]見出し番号 274
pile,積み重ね,,[Leap]見出し番号 275
rate,割合,,[Leap]見出し番号 276
figure,数字,,[Leap]見出し番号 277
lack,不足,,[Leap]見出し番号 278
extra,余分な,,[Leap]見出し番号 279
ready,用意ができた,,[Leap]見出し番号 280
prepare,の準備をする,,[Leap]見出し番号 281
adjust,慣れる,,[Leap]見出し番号 282
apply,当てはまる,,[Leap]見出し番号 283
suit,に適している,,[Leap]見出し番号 284
case,場合,,[Leap]見出し番号 285
scene,場面,,[Leap]見出し番号 286
chance,機会,,[Leap]見出し番号 287
opportunity,機会,,[Leap]見出し番号 288
experience,経験,,[Leap]見出し番号 289
time,時間,,[Leap]見出し番号 290
spring,春,,[Leap]見出し番号 291
minute,分,,[Leap]見出し番号 292
age,年齢,,[Leap]見出し番号 293
generation,世代,,[Leap]見出し番号 294
anniversary,記念日,,[Leap]見出し番号 295
recently,最近,,[Leap]見出し番号 296
used,以前は～だった,,[Leap]見出し番号 297
early,早く,,[Leap]見出し番号 298
first,第1の,,[Leap]見出し番号 299
latest,最新の,,[Leap]見出し番号 300
modern,現代の,,[Leap]見出し番号 301
ancient,古代の,,[Leap]見出し番号 302
spend,を費やす,,[Leap]見出し番号 303
delay,を遅らせる,,[Leap]見出し番号 304
borrow,を借りる,,[Leap]見出し番号 305
lend,を貸す,,[Leap]見出し番号 306
rent,を借りる,,[Leap]見出し番号 307
provide,を供給する,,[Leap]見出し番号 308
board,板,,[Leap]見出し番号 309
garbage,ゴミ,,[Leap]見出し番号 310
item,品物,,[Leap]見出し番号 311
wheel,車輪,,[Leap]見出し番号 312
note,メモ,,[Leap]見出し番号 313
present,プレゼント,,[Leap]見出し番号 314
bargain,買得品,,[Leap]見出し番号 315
stuff,物,,[Leap]見出し番号 316
string,紐,,[Leap]見出し番号 317
leisure,余暇,,[Leap]見出し番号 318
diet,食事,,[Leap]見出し番号 319
furniture,家具,,[Leap]見出し番号 320
refrigerator,冷蔵庫,,[Leap]見出し番号 321
traffic,交通,,[Leap]見出し番号 322
sell,を売る,,[Leap]見出し番号 323
pay,を支払う,,[Leap]見出し番号 324
wear,を身につけている,,[Leap]見出し番号 325
clothes,服,,[Leap]見出し番号 326
marry,と結婚する,,[Leap]見出し番号 327
greet,に挨拶する,,[Leap]見出し番号 328
order,を注文する,,[Leap]見出し番号 329
room,部屋,,[Leap]見出し番号 330
story,階,,[Leap]見出し番号 331
site,用地,,[Leap]見出し番号 332
yard,庭,,[Leap]見出し番号 333
bottom,そこ,,[Leap]見出し番号 334
line,列,,[Leap]見出し番号 335
row,列,,[Leap]見出し番号 336
background,背景,,[Leap]見出し番号 337
direction,方向,,[Leap]見出し番号 338
culture,文化,,[Leap]見出し番号 339
art,芸術,,[Leap]見出し番号 340
cartoon,漫画,,[Leap]見出し番号 341
novel,小説,,[Leap]見出し番号 342
instrument,楽器,,[Leap]見出し番号 343
tune,曲,,[Leap]見出し番号 344
sentence,文,,[Leap]見出し番号 345
article,記事,,[Leap]見出し番号 346
passage,一節,,[Leap]見出し番号 347
vocabulary,語彙,,[Leap]見出し番号 348
rumor,噂,,[Leap]見出し番号 349
spell,を綴る,,[Leap]見出し番号 350
pronounce,を発音する,,[Leap]見出し番号 351
sign,兆候,,[Leap]見出し番号 352
mean,を意味する,,[Leap]見出し番号 353
publish,を出版する,,[Leap]見出し番号 354
display,を展示する,,[Leap]見出し番号 355
trust,を信頼する,,[Leap]見出し番号 356
depend,次第である,,[Leap]見出し番号 357
rely,頼る,,[Leap]見出し番号 358
pray,祈る,,[Leap]見出し番号 359
beg,を嘆願する,,[Leap]見出し番号 360
prefer,を好む,,[Leap]見出し番号 361
weep,しくしく泣く,,[Leap]見出し番号 362
hate,を嫌う,,[Leap]見出し番号 363
worry,心配をする,,[Leap]見出し番号 364
anxious,心配して,,[Leap]見出し番号 365
satisfy,を満足させる,,[Leap]見出し番号 366
annoy,を苛立たせる,,[Leap]見出し番号 367
bother,に面倒をかける,,[Leap]見出し番号 368
disturb,に迷惑をかける,,[Leap]見出し番号 369
frighten,を怯えさせる,,[Leap]見出し番号 370
regret,を後悔する,,[Leap]見出し番号 371
favor,親切な行為,,[Leap]見出し番号 372
interest,関心,,[Leap]見出し番号 373
pity,残念なこと,,[Leap]見出し番号 374
due,が原因で,,[Leap]見出し番号 375
reason,理由,,[Leap]見出し番号 376
result,結果,,[Leap]見出し番号 377
effect,効果,,[Leap]見出し番号 378
influence,影響,,[Leap]見出し番号 379
end,結局～することになる,,[Leap]見出し番号 380
cause,を引き起こす,,[Leap]見出し番号 381
affect,に影響を与える,,[Leap]見出し番号 382
way,方法,,[Leap]見出し番号 383
manner,方法,,[Leap]見出し番号 384
purpose,目的,,[Leap]見出し番号 385
sake,ため,,[Leap]見出し番号 386
right,ちょうど,,[Leap]見出し番号 387
complete,完全な,,[Leap]見出し番号 388
hardly,ほとんどない,,[Leap]見出し番号 389
almost,ほとんど,,[Leap]見出し番号 390
partly,ある程度,,[Leap]見出し番号 391
indeed,実際に,,[Leap]見出し番号 392
even,さえも,,[Leap]見出し番号 393
exactly,正確に,,[Leap]見出し番号 394
gradually,徐々に,,[Leap]見出し番号 395
therefore,それゆえに,,[Leap]見出し番号 396
instead,代わりに,,[Leap]見出し番号 397
until,まで,,[Leap]見出し番号 398
besides,に加えて,,[Leap]見出し番号 399
except,を除いて,,[Leap]見出し番号 400
debate,討論,,[Leap]見出し番号 401
criticize,を批判する,,[Leap]見出し番号 402
accuse,を非難する,,[Leap]見出し番号 403
insist,言い張る,,[Leap]見出し番号 404
object,反対する,,[Leap]見出し番号 405
protest,抗議する,,[Leap]見出し番号 406
controversial,論争を招く,,[Leap]見出し番号 407
bound,きっと,,[Leap]見出し番号 408
bet,きっと～だと思う,,[Leap]見出し番号 409
demand,を要求する,,[Leap]見出し番号 410
desire,願望,,[Leap]見出し番号 411
praise,を褒める,,[Leap]見出し番号 412
honor,名誉,,[Leap]見出し番号 413
chat,おしゃべりする,,[Leap]見出し番号 414
refer,言及する,,[Leap]見出し番号 415
mention,について述べる,,[Leap]見出し番号 416
convey,を伝える,,[Leap]見出し番号 417
demonstrate,を示す,,[Leap]見出し番号 418
emphasize,を強調する,,[Leap]見出し番号 419
exaggerate,を誇張する,,[Leap]見出し番号 420
reply,返事をする,,[Leap]見出し番号 421
respond,返答する,,[Leap]見出し番号 422
whisper,ささやく,,[Leap]見出し番号 423
remark,発言,,[Leap]見出し番号 424
observe,を観察する,,[Leap]見出し番号 425
theory,理論,,[Leap]見出し番号 426
analysis,分析,,[Leap]見出し番号 427
phenomenon,現象,,[Leap]見出し番号 428
device,装置,,[Leap]見出し番号 429
experiment,実験,,[Leap]見出し番号 430
chemical,化学物質,,[Leap]見出し番号 431
fuel,燃料,,[Leap]見出し番号 432
nuclear,原子力の,,[Leap]見出し番号 433
statistics,統計,,[Leap]見出し番号 434
pursue,を追求する,,[Leap]見出し番号 435
accomplish,をやり遂げる,,[Leap]見出し番号 436
overcome,を克服する,,[Leap]見出し番号 437
fulfill,を果たす,,[Leap]見出し番号 438
devote,を捧げる,,[Leap]見出し番号 439
strive,努力する,,[Leap]見出し番号 440
aim,狙う,,[Leap]見出し番号 441
challenge,難問,,[Leap]見出し番号 442
trial,試み,,[Leap]見出し番号 443
dizzy,めまいがして,,[Leap]見出し番号 444
appetite,食欲,,[Leap]見出し番号 445
starve,餓死する,,[Leap]見出し番号 446
mental,精神の,,[Leap]見出し番号 447
rest,休憩,,[Leap]見出し番号 448
surgery,手術,,[Leap]見出し番号 449
disease,病気,,[Leap]見出し番号 450
stomachache,腹痛,,[Leap]見出し番号 451
symptom,症状,,[Leap]見出し番号 452
cancer,癌,,[Leap]見出し番号 453
ambulance,救急車,,[Leap]見出し番号 454
recover,回復する,,[Leap]見出し番号 455
sore,痛い,,[Leap]見出し番号 456
swell,腫れる,,[Leap]見出し番号 457
cough,咳をする,,[Leap]見出し番号 458
bleed,出血する,,[Leap]見出し番号 459
faint,かすかな,,[Leap]見出し番号 460
exhaust,を疲れ果てさせる,,[Leap]見出し番号 461
cure,を治療する,,[Leap]見出し番号 462
disabled,障害のある,,[Leap]見出し番号 463
stiff,凝った,,[Leap]見出し番号 464
muscle,筋肉,,[Leap]見出し番号 465
tongue,下,,[Leap]見出し番号 466
sense,感覚,,[Leap]見出し番号 467
sweat,汗,,[Leap]見出し番号 468
gender,性,,[Leap]見出し番号 469
nationality,国籍,,[Leap]見出し番号 470
citizen,市民,,[Leap]見出し番号 471
civil,市民の,,[Leap]見出し番号 472
racial,人種の,,[Leap]見出し番号 473
rural,田舎の,,[Leap]見出し番号 474
domestic,国内の,,[Leap]見出し番号 475
global,世界的な,,[Leap]見出し番号 476
suburb,郊外,,[Leap]見出し番号 477
border,国境,,[Leap]見出し番号 478
burden,重荷,,[Leap]見出し番号 479
impact,影響,,[Leap]見出し番号 480
status,地位,,[Leap]見出し番号 481
equal,等しい,,[Leap]見出し番号 482
relationship,関係,,[Leap]見出し番号 483
reputation,評判,,[Leap]見出し番号 484
trend,風潮,,[Leap]見出し番号 485
service,事業,,[Leap]見出し番号 486
religion,宗教,,[Leap]見出し番号 487
moral,道徳的な,,[Leap]見出し番号 488
standard,基準,,[Leap]見出し番号 489
prosperity,繁栄,,[Leap]見出し番号 490
crisis,危機,,[Leap]見出し番号 491
prejudice,偏見,,[Leap]見出し番号 492
discrimination,差別,,[Leap]見出し番号 493
charity,慈善,,[Leap]見出し番号 494
benefit,恩恵,,[Leap]見出し番号 495
welfare,福祉,,[Leap]見出し番号 496
community,社会,,[Leap]見出し番号 497
individual,個人,,[Leap]見出し番号 498
official,役人,,[Leap]見出し番号 499
immigrant,移民,,[Leap]見出し番号 500
volunteer,ボランティア,,[Leap]見出し番号 501
interact,交流する,,[Leap]見出し番号 502
contribute,貢献する,,[Leap]見出し番号 503
abolish,を廃止する,,[Leap]見出し番号 504
impose,を課す,,[Leap]見出し番号 505
access,利用する権利,,[Leap]見出し番号 506
duty,義務,,[Leap]見出し番号 507
responsible,責任がある,,[Leap]見出し番号 508
policy,政策,,[Leap]見出し番号 509
elect,を選ぶ,,[Leap]見出し番号 510
industry,工業,,[Leap]見出し番号 511
income,収入,,[Leap]見出し番号 512
profit,利益,,[Leap]見出し番号 513
tax,税金,,[Leap]見出し番号 514
expense,費用,,[Leap]見出し番号 515
debt,借金,,[Leap]見出し番号 516
deposit,預金,,[Leap]見出し番号 517
charge,料金,,[Leap]見出し番号 518
wage,賃金,,[Leap]見出し番号 519
recession,不況,,[Leap]見出し番号 520
consume,を消費する,,[Leap]見出し番号 521
waste,を浪費する,,[Leap]見出し番号 522
invest,を投資する,,[Leap]見出し番号 523
import,を輸入する,,[Leap]見出し番号 524
financial,財政的な,,[Leap]見出し番号 525
hire,を雇う,,[Leap]見出し番号 526
employ,を雇う,,[Leap]見出し番号 527
resign,辞職する,,[Leap]見出し番号 528
qualify,資格がある,,[Leap]見出し番号 529
assign,を割り当てる,,[Leap]見出し番号 530
occupation,職業,,[Leap]見出し番号 531
career,職業,,[Leap]見出し番号 532
profession,職業,,[Leap]見出し番号 533
unemployment,失業,,[Leap]見出し番号 534
document,書類,,[Leap]見出し番号 535
department,部門,,[Leap]見出し番号 536
branch,支店,,[Leap]見出し番号 537
retail,小売り,,[Leap]見出し番号 538
colleague,同僚,,[Leap]見出し番号 539
system,制度,,[Leap]見出し番号 540
structure,構造,,[Leap]見出し番号 541
architecture,建築,,[Leap]見出し番号 542
construction,建設,,[Leap]見出し番号 543
function,機能,,[Leap]見出し番号 544
surface,表面,,[Leap]見出し番号 545
aspect,側面,,[Leap]見出し番号 546
edge,端,,[Leap]見出し番号 547
makeup,構成,,[Leap]見出し番号 548
consist,構成されている,,[Leap]見出し番号 549
compose,を構成する,,[Leap]見出し番号 550
attach,をくっつける,,[Leap]見出し番号 551
connect,をつなげる,,[Leap]見出し番号 552
relate,を関連づける,,[Leap]見出し番号 553
associate,を関連づける,,[Leap]見出し番号 554
stick,を貼り付ける,,[Leap]見出し番号 555
thief,泥棒,,[Leap]見出し番号 556
crime,犯罪,,[Leap]見出し番号 557
motive,動機,,[Leap]見出し番号 558
punish,を罰する,,[Leap]見出し番号 559
violate,に違反する,,[Leap]見出し番号 560
legal,合法の,,[Leap]見出し番号 561
enemy,敵,,[Leap]見出し番号 562
conflict,対立,,[Leap]見出し番号 563
compete,競争する,,[Leap]見出し番号 564
defeat,を打ち負かす,,[Leap]見出し番号 565
victim,犠牲者,,[Leap]見出し番号 566
obstacle,障害,,[Leap]見出し番号 567
harm,害,,[Leap]見出し番号 568
invade,を侵害する,,[Leap]見出し番号 569
endanger,を危険にさらす,,[Leap]見出し番号 570
interrupt,を中断する,,[Leap]見出し番号 571
spoil,を台無しにする,,[Leap]見出し番号 572
spectator,観客,,[Leap]見出し番号 573
relative,親戚,,[Leap]見出し番号 574
departure,出発,,[Leap]見出し番号 575
destination,目的地,,[Leap]見出し番号 576
transportation,交通機関,,[Leap]見出し番号 577
vehicle,車両,,[Leap]見出し番号 578
baggage,手荷物,,[Leap]見出し番号 579
via,経由で,,[Leap]見出し番号 580
lead,至る,,[Leap]見出し番号 581
rise,上がる,,[Leap]見出し番号 582
flow,流れれる,,[Leap]見出し番号 583
burst,破裂する,,[Leap]見出し番号 584
melt,溶ける,,[Leap]見出し番号 585
commute,通勤する,,[Leap]見出し番号 586
accompany,と一緒に行く,,[Leap]見出し番号 587
emit,を排出する,,[Leap]見出し番号 588
progress,進歩,,[Leap]見出し番号 589
advance,進歩,,[Leap]見出し番号 590
deal,扱う,,[Leap]見出し番号 591
handle,を扱う,,[Leap]見出し番号 592
treat,を扱う,,[Leap]見出し番号 593
clue,手がかり,,[Leap]見出し番号 594
restrict,を制限する,,[Leap]見出し番号 595
limit,を制限する,,[Leap]見出し番号 596
forbid,を禁じる,,[Leap]見出し番号 597
ban,禁止,,[Leap]見出し番号 598
refuse,するのを拒む,,[Leap]見出し番号 599
reject,を拒絶する,,[Leap]見出し番号 600
persuade,を説得して?させる,,[Leap]見出し番号 601
convince,に確信させる,,[Leap]見出し番号 602
inspire,を奮起させる,,[Leap]見出し番号 603
discourage,のやる気をなくさせる,,[Leap]見出し番号 604
promote,を促進する,,[Leap]見出し番号 605
boost,を促進させる,,[Leap]見出し番号 606
expand,拡大する,,[Leap]見出し番号 607
extend,を延長する,,[Leap]見出し番号 608
broaden,を広げる,,[Leap]見出し番号 609
spread,を広げる,,[Leap]見出し番号 610
tie,を縛る,,[Leap]見出し番号 611
fasten,を固定する,,[Leap]見出し番号 612
fix,を固定する,,[Leap]見出し番号 613
install,を設置する,,[Leap]見出し番号 614
resist,を我慢する,,[Leap]見出し番号 615
obey,に従う,,[Leap]見出し番号 616
engage,従事する,,[Leap]見出し番号 617
bump,ぶつかる,,[Leap]見出し番号 618
bend,身をかがめる,,[Leap]見出し番号 619
hug,を抱きしめる,,[Leap]見出し番号 620
stare,じっと見つめる,,[Leap]見出し番号 621
gaze,見つめる,,[Leap]見出し番号 622
glance,ちらりと見る,,[Leap]見出し番号 623
glimpse,がちらりと見える,,[Leap]見出し番号 624
stretch,を伸ばす,,[Leap]見出し番号 625
stumble,つまずく,,[Leap]見出し番号 626
press,を押す,,[Leap]見出し番号 627
drag,を引きずる,,[Leap]見出し番号 628
lean,寄りかかる,,[Leap]見出し番号 629
scratch,を引っかく,,[Leap]見出し番号 630
bow,おじぎをする,,[Leap]見出し番号 631
nod,うなずく,,[Leap]見出し番号 632
sigh,ため息をつく,,[Leap]見出し番号 633
yawn,あくびをする,,[Leap]見出し番号 634
sneeze,くしゃみをする,,[Leap]見出し番号 635
bury,を埋める,,[Leap]見出し番号 636
perform,を遂行する,,[Leap]見出し番号 637
adopt,を採用する,,[Leap]見出し番号 638
escape,逃がれる,,[Leap]見出し番号 639
scatter,をまき散らす,,[Leap]見出し番号 640
